"","rappeurs"
"1","113"
"2","Fonky Family"
"3","Scred Connexion"
"4","1995"
"5","3e Œil"
"6","Le Peuple de l'Herbe"
"7","Empathik"
"8","Explicit Samouraï"
"9","Expression Direkt"
"10","TLF"
"11","Suprême NTM"
"12","TTC"
"13","Hocus Pocus"
"14","IAM"
"15","Tandem"
"16","Sniper"
"17","La Caution"
"18","Sexion d'Assaut"
"19","Alliance Ethnik"
"20","Bisso Na Bisso"
"21","Chiens de Paille"
"22","Gasoline"
"23","Idéal J"
"24","Intouchable"
"25","L'Skadrille"
"26","La Clinique"
"27","La Cliqua"
"28","Ministère A.M.E.R."
"29","Mo'vez Lang"
"30","Nec Plus Ultra"
"31","Nèg' Marrons"
"32","Odezenne"
"33","Pass Pass"
"34","Posse 501"
"35","Reciprok"
"36","Sages Poètes de la Rue"
"37","Secteur Ä"
"38","Stupeflip"
"39","Ärsenik"
"40","The Shin Sekaï"
"41","Cabadzi"
"42","Casseurs Flowters"
"43","S-Crew"
"44","Shtar Academy"
"45","Caribbean Dandee"
"46","L'Animalerie"
"47","TSR Crew"
"48","La Fine Équipe"
"49","Panama Bende"
"50","SKS Crew"
"51","Bastard Prod"
"52","Les Chirurgiens Du Son"
"53","20syl"
"54","2zer Washington"
"55","3010"
"56","404Billy"
"57","A2H"
"58","ASF"
"59","Al Peco"
"60","Alibi Montana"
"61","Arm"
"62","B.e.Labeu"
"63","BRAV"
"64","Bambi Cruz"
"65","Bazoo"
"66","Beeby"
"67","Bekar"
"68","Benash"
"69","Benjamin Epps"
"70","Benjamin Paulin"
"71","Beny Le Brownies"
"72","Bigflo & Oli"
"73","Black Kent"
"74","Blackapar"
"75","Blacko"
"76","Brav"
"77","Butter Bullets"
"78","Caballero"
"79","Charly Greane"
"80","D' de Kabal"
"81","Daddy Lord C"
"82","Damso"
"83","Dandyguel"
"84","Dany Dan"
"85","Dawala"
"86","Dee Nasty"
"87","Despo Rutti"
"88","Diabi"
"89","Diamond Deuklo"
"90","Diddi Trix"
"91","Dinaz"
"92","Dinos Punchlinovic"
"93","Djadja"
"94","Djamal"
"95","Djamatik"
"96","Don Choa"
"97","Doomams"
"98","Doudou Masta"
"99","Driver"
"100","East"
"101","Eklips"
"102","Ekoué"
"103","Elh Kmer"
"104","Escobar Macson"
"105","Fababy"
"106","Fabe"
"107","Fayçal"
"108","Fisto"
"109","Fixpen Sill"
"110","Franci$ Trash"
"111","Freeman"
"112","Furax Barbarossa"
"113","Fuzati"
"114","Féfé"
"115","Gaël Faye"
"116","Gims"
"117","Grand Corps Malade"
"118","Grems"
"119","Guts"
"120","Guy2Bezbar"
"121","Hamza"
"122","Heuss L'Enfoiré"
"123","Hooss"
"124","Hyacinthe"
"125","Iron Sy"
"126","J9ueve"
"127","JNR Slice"
"128","JR O Crom"
"129","James Delleck"
"130","Jazzy Bazz"
"131","Jeanjass"
"132","Joe Lucazz"
"133","Joey Star"
"134","Joke"
"135","Jorrdee"
"136","JuL"
"137","Kacem Wapalek"
"138","Kalash"
"139","Kamelancien"
"140","Karlito"
"141","Kemmler"
"142","Khali"
"143","Kofs"
"144","Kohndo"
"145","Koma"
"146","Kooly"
"147","L'Algérino"
"148","La Fouine"
"149","Lacraps"
"150","Larry"
"151","Lartiste"
"152","Le Rat Luciano"
"153","LeBoy Krisy'B"
"154","Leck"
"155","Leeroy"
"156","Limsa"
"157","Limsa d'Aulnay"
"158","Lionel D"
"159","Lonepsi"
"160","Lord Kossity"
"161","Lorenzo"
"162","Lucio Bukowski"
"163","Lujipeka"
"164","Luni Sacks"
"165","Lunikar"
"166","MC Janik"
"167","MC Jean Gab'1"
"168","MZ"
"169","Maj Trafyk"
"170","Majster"
"171","Manau"
"172","Mani Deïz"
"173","Medouze"
"174","Michaël Youn"
"175","Michel"
"176","Mike Lucazz"
"177","Missak"
"178","Missié GG"
"179","Moha K"
"180","Moha MMZ"
"181","Morsay"
"182","Moussa Mansaly"
"183","Mystik"
"184","Ménélik"
"185","NOR"
"186","NOS"
"187","Nakk"
"188","Nakk Mendosa"
"189","Narcisse"
"190","Nelick"
"191","Niro"
"192","Nubi"
"193","Nusky"
"194","OGB"
"195","Oboy"
"196","Okis"
"197","Ol Kainry"
"198","OldPee"
"199","PIHPOH"
"200","Passi"
"201","Patee Gee"
"202","Pesoa"
"203","Piloophaz"
"204","Pink Tee"
"205","Prince Waly"
"206","R.E.D.K"
"207","Retro X"
"208","Riski"
"209","Rochdi"
"210","Rockin Squat"
"211","Rocé"
"212","Romeo Elvis"
"213","Roshi"
"214","Rouda"
"215","Rounhaa"
"216","S-Pi"
"217","Salif"
"218","Sat l'Artificier"
"219","Scylla"
"220","Senamo"
"221","Serane"
"222","Set&Match"
"223","Shone d'Holocost"
"224","Sianna"
"225","Siboy"
"226","Sidisid"
"227","Sir Samuel"
"228","Six"
"229","Sly Johnson"
"230","Sofiane Zermani"
"231","Soon E MC"
"232","Stomy Bugsy"
"233","Suikon Blaz AD"
"234","Sultan"
"235","Swagg Man"
"236","Swift Guad"
"237","Syrano"
"238","Taïpan"
"239","Teki Latex"
"240","Tepr"
"241","Titan"
"242","Tito Prince"
"243","Tsew The Kid"
"244","Usky"
"245","VII"
"246","Vicelow"
"247","Volts Face"
"248","Wacko"
"249","Yannick"
"250","Young Chang Mc"
"251","Younès Boucif"
"252","Youssoupha"
"253","ZKR"
"254","Zamdane"
"255","Zekwé Ramos"
"256","Zesau"
"257","Zoxea"
"258","Lavokato"
"259","Lindis"
"260","Amandine du 38"
"261","Keny Arkana"
"262","Bams"
"263","Chilla"
"264","Diam's"
"265","Le Juiice"
"266","Kayliah"
"267","Laetitia Kerfa"
"268","K-Reen"
"269","Lady Laistee"
"270","Lala &ce"
"271","Melaaz"
"272","Meryl"
"273","Liza Monet"
"274","Moona"
"275","M'Passi"
"276","Diariata N'Diaye"
"277","Fanny Polly"
"278","Princess Aniès"
"279","Pumpkin & Vin'S da Cuero"
"280","Saliha"
"281","Sally"
"282","Aloïse Sauvage"
"283","Sévère"
"284","Anna Stanic"
"285","Sté Strausz"
"286","Wallen"
"287","Zinée"
"288","Abd al Malik"
"289","Ademo"
"290","Aketo"
"291","Akhenaton"
"292","Alkpote"
"293","Alonzo"
"294","Alpha 5.20"
"295","AP"
"296","Ashe 22"
"297","Ateyaba"
"298","Axiom"
"299","Pit Baccardi"
"300","Gérard Baste"
"301","Ben-J"
"302","Benab"
"303","Big Brother Hakim"
"304","Big Red"
"305","Black M"
"306","Bolémvn"
"307","Booba"
"308","Boostee"
"309","Bosh"
"310","Bouga"
"311","Bassem"
"312","Bram's"
"313","Brasco"
"314","Deen Burbigo"
"315","Busta Flex"
"316","Calbo"
"317","Canardo"
"318","Nick Conrad"
"319","Samuel Cueto"
"320","Cuizinier"
"321","Cyanure"
"322","Da Uzi"
"323","Dadoo"
"324","Hamed Daye"
"325","Abou Debeing"
"326","Def Bond"
"327","Tita Delarue"
"328","Demi Portion"
"329","Demon One"
"330","Souleymane Diamanka"
"331","Dinos"
"332","Disiz"
"333","Doc Gynéco"
"334","Dooz Kawa"
"335","Dosseh"
"336","Doums"
"337","Dr. Bériz"
"338","Edge"
"339","EJM"
"340","Elams"
"341","Esdras"
"342","Eurêka"
"343","Faf Larage"
"344","Faster Jay"
"345","Favé"
"346","Fhemann"
"347","Flynt"
"348","Franck II Louise"
"349","Franglish"
"350","Freeze Corleone"
"351","Furax"
"352","Gambi"
"353","Gazo"
"354","Georgio"
"355","GLK"
"356","Gradur"
"357","Gringe"
"358","Seth Gueko"
"359","Guizmo"
"360","H Magnum"
"361","Sylvain Hagopian"
"362","Hatik"
"363","Hayce Lemsi"
"364","Heuss l'Enfoiré"
"365","Hippocampe Fou"
"366","Hornet La Frappe"
"367","ISK"
"368","IZM"
"369","Kery James"
"370","Jarod"
"371","Jerôme Ebella"
"372","J'L'Tismé"
"373","JoeyStarr"
"374","Jok'Air"
"375","Josman"
"376","Félix Jousserand"
"377","JP Manova"
"378","Jul"
"379","K-mel"
"380","K-Rhyme Le Roi"
"381","Kaaris"
"382","Kalash Criminel"
"383","Kalash l'Afro"
"384","Kamini"
"385","KeBlack"
"386","Kekra"
"387","Kerchak"
"388","Manu Key"
"389","Kikesa"
"390","Koba LaD"
"391","Kobzx2z"
"392","Kool Shen"
"393","Kopp Johnson"
"394","Krismenn"
"395","Kroc Blanc"
"396","Lacrim"
"397","La Fève"
"398","Landy"
"399","Hervé Lardic"
"400","Laylow"
"401","Lefa"
"402","Jeff Le Nerf"
"403","Lesram"
"404","Leto"
"405","LIM"
"406","Lino"
"407","Lomepal"
"408","Lord Esperanza"
"409","Luidji"
"410","Luv Resval"
"411","2 Bal"
"412","4Keus"
"413","5 majeur"
"414","13 Block"
"415","47Ter"
"416","92i"
"417","400 Hyènes"
"418","667"
"419","Abstrackt Keal Agram"
"420","Afro jazz"
"421","Alktraxx"
"422","L'Armée des 12"
"423","L'Atelier"
"424","ATK"
"425","Bass Click"
"426","Beat de Boul"
"427","Bigflo et Oli"
"428","La Boussole"
"429","La Brigade"
"430","La Canaille"
"431","Carré rouge"
"432","La Cédille"
"433","Chiens de paille"
"434","La Cinquième Kolonne"
"435","Collectif Mary Read"
"436","Compagnie Dyptik"
"437","Dabatcha'zz"
"438","Démocrates D"
"439","Depth Affect"
"440","Dicidens"
"441","Djadja et Dinaz"
"442","DSL"
"443","DTF"
"444","L'Entourage"
"445","F430"
"446","Fabulous Trobadors"
"447","La Fanfare en pétard"
"448","Les Fanflures Brass Band"
"449","FuckALoop"
"450","Fumuj"
"451","Futur Crew"
"452","Ghetto Fabulous Gang"
"453","Gomez et Dubois"
"454","Gravité Zéro"
"455","High Five Crew"
"456","Ideal J"
"457","IV My People"
"458","Java"
"459","K$K"
"460","Kabal"
"461","La K-Bine"
"462","KDD"
"463","Le Klub des 7"
"464","Klub des Loosers"
"465","The Latitudz"
"466","Leader Vocal"
"467","Less du Neuf"
"468","LNT Musik"
"469","Lunatic"
"470","Mad in Paris"
"471","Mafia K'1 Fry"
"472","Mafia Trece"
"473","Mellowman"
"474","Milk Coffee and Sugar"
"475","Ministère des affaires populaires"
"476","Miss White and the Drunken Piano"
"477","La Mixture"
"478","MMZ"
"479","Ness & Cité"
"480","New African Poets"
"481","Nowhere Prod"
"482","Noyau Dur"
"483","Nysay"
"484","Octobre Rouge"
"485","OFX"
"486","One Shot"
"487","One-T"
"488","Orties"
"489","PNL"
"490","Prodige Namor"
"491","PSO Thug"
"492","Psy 4 de la rime"
"493","Psykick Lyrikah"
"494","Psykopat"
"495","Raggasonic"
"496","Raï'n'B Fever"
"497","Rapsonic"
"498","Relic"
"499","Les Rieurs"
"500","La Rumeur"
"501","Saïan Supa Crew"
"502","Section Fu"
"503","Shuffle"
"504","Silmarils"
"505","Smokey Joe and the Kid"
"506","Soul Swing"
"507","Les Spécialistes"
"508","Spoke Orkestra"
"509","SÜEÜR"
"510","Svinkels"
"511","La Swija"
"512","Team BS"
"513","Therapie Taxi"
"514","Time Bomb"
"515","Tout simplement noir"
"516","Tragédie"
"517","Tribal Jam"
"518","Triptik"
"519","Twin Twin"
"520","Under Kontrol"
"521","Unité 2 Feu"
"522","Les X"
"523","X Makeena"
"524","Zone d'expression populaire"
"525","Zweierpasch"
"526","MC Solaar"
"527","Sinik"
"528","Cut Killer"
"529","Mac Tyer"
"530","Rohff"
"531","Soprano"
"532","Kamelanc'"
"533","Smartzee"
"534","Sefyu"
"535","Mokobé"
"536","Rim'K"
"537","Tunisiano"
"538","Orelsan"
"539","Barack"
"540","Darryl Zeuja"
"541","Dry"
"542","El Matador"
"543","Faouzi Tarkhani"
"544","Monsieur R"
"545","Lil Shaolin"
"546","Mac Kregor"
"547","Maska"
"548","Mister You"
"549","Médine"
"550","Nikkfurie"
"551","Werenoi"
"552","TIF"
"553","Seymi"
"554","MLee"
"555","Wasted180"
"556","Yamê"
"557","Mala"
