item,itemLabel
http://www.wikidata.org/entity/Q170549,113
http://www.wikidata.org/entity/Q339863,Fonky Family
http://www.wikidata.org/entity/Q369108,Scred Connexion
http://www.wikidata.org/entity/Q2813204,1995
http://www.wikidata.org/entity/Q2816659,3e Œil
http://www.wikidata.org/entity/Q2949735,Le Peuple de l'Herbe
http://www.wikidata.org/entity/Q2963764,Chinese Man
http://www.wikidata.org/entity/Q3053182,Empathik
http://www.wikidata.org/entity/Q3062112,Explicit Samouraï
http://www.wikidata.org/entity/Q3062283,Expression Direkt
http://www.wikidata.org/entity/Q1396950,TLF
http://www.wikidata.org/entity/Q1479960,Suprême NTM
http://www.wikidata.org/entity/Q1515384,TTC
http://www.wikidata.org/entity/Q1622663,Hocus Pocus
http://www.wikidata.org/entity/Q1653033,IAM
http://www.wikidata.org/entity/Q2151991,Tandem
http://www.wikidata.org/entity/Q2295917,Sniper
http://www.wikidata.org/entity/Q591985,La Caution
http://www.wikidata.org/entity/Q762966,Sexion d'Assaut
http://www.wikidata.org/entity/Q847180,Alliance Ethnik
http://www.wikidata.org/entity/Q866698,Bisso Na Bisso
http://www.wikidata.org/entity/Q957160,Assassin
http://www.wikidata.org/entity/Q1072475,Chiens de Paille
http://www.wikidata.org/entity/Q3098709,Gasoline
http://www.wikidata.org/entity/Q3147794,Idéal J
http://www.wikidata.org/entity/Q3153678,Intouchable
http://www.wikidata.org/entity/Q3204778,L'Skadrille
http://www.wikidata.org/entity/Q3207517,La Clinique
http://www.wikidata.org/entity/Q3207526,La Cliqua
http://www.wikidata.org/entity/Q3315172,Ministère A.M.E.R.
http://www.wikidata.org/entity/Q3317533,Mo'vez Lang
http://www.wikidata.org/entity/Q3337654,Nec Plus Ultra
http://www.wikidata.org/entity/Q3346785,Nèg' Marrons
http://www.wikidata.org/entity/Q3349220,Odezenne
http://www.wikidata.org/entity/Q3367808,Pass Pass
http://www.wikidata.org/entity/Q3399679,Posse 501
http://www.wikidata.org/entity/Q3421990,Reciprok
http://www.wikidata.org/entity/Q3461390,Sages Poètes de la Rue
http://www.wikidata.org/entity/Q3477442,Secteur Ä
http://www.wikidata.org/entity/Q3501152,Stupeflip
http://www.wikidata.org/entity/Q3577106,Ärsenik
http://www.wikidata.org/entity/Q7497220,The Shin Sekaï
http://www.wikidata.org/entity/Q21077743,Cabadzi
http://www.wikidata.org/entity/Q15481114,Casseurs Flowters
http://www.wikidata.org/entity/Q16628361,Deluxe
http://www.wikidata.org/entity/Q16674556,S-Crew
http://www.wikidata.org/entity/Q17019128,Shtar Academy
http://www.wikidata.org/entity/Q23891527,Caribbean Dandee
http://www.wikidata.org/entity/Q30728140,L'Animalerie
http://www.wikidata.org/entity/Q99279376,TSR Crew
http://www.wikidata.org/entity/Q56304195,La Fine Équipe
http://www.wikidata.org/entity/Q65150549,Panama Bende
http://www.wikidata.org/entity/Q88880396,SKS Crew
http://www.wikidata.org/entity/Q88979367,Bastard Prod
http://www.wikidata.org/entity/Q89189113,Les Chirurgiens Du Son
